no,word,meaning,example_sentence,source,known,note,created_at,updated_at
334,storage,保管、貯蔵(法)、収容力,The report mentioned a important storage in detail.,英検準1級 でる順パス単 CSV,0,,,
335,firm,確固たる；堅固な；安定した,The situation became more firm than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
336,statistics,統計；統計学,The article explained the meaning of statistics clearly.,英検準1級 でる順パス単 CSV,0,,,
337,toll,損害（の程度）；死傷者数；通行料,The article explained the meaning of toll clearly.,英検準1級 でる順パス単 CSV,0,,,
338,tip,助言，秘訣；チップ；先端,The article explained the meaning of tip clearly.,英検準1級 でる順パス単 CSV,0,,,
339,CEO,最高経営責任者,The article explained the meaning of CEO clearly.,英検準1級 でる順パス単 CSV,0,,,
340,circumstance,〔通例～s〕状況，事情；境遇,The report mentioned a important circumstance in detail.,英検準1級 でる順パス単 CSV,0,,,
341,outsider,部外者、門外漢,The report mentioned an important outsider in detail.,英検準1級 でる順パス単 CSV,0,,,
342,reduction,減少、削減,The report mentioned a important reduction in detail.,英検準1級 でる順パス単 CSV,0,,,
343,settlement,開拓地、解決、合意,The report mentioned a important settlement in detail.,英検準1級 でる順パス単 CSV,0,,,
344,divorce,離婚；分離,The article explained the meaning of divorce clearly.,英検準1級 でる順パス単 CSV,0,,,
345,likelihood,可能性、見込み,The report mentioned a important likelihood in detail.,英検準1級 でる順パス単 CSV,0,,,
346,livestock,(牛・羊・豚などの)家畜(類),The situation became more livestock than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
347,possession,所有物、財産、所有,The report mentioned a important possession in detail.,英検準1級 でる順パス単 CSV,0,,,
348,plot,（小説などの）筋；陰謀,The situation became more plot than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
349,category,部類，区分；範疇,The report mentioned a important category in detail.,英検準1級 でる順パス単 CSV,0,,,
350,welfare,福祉，幸福,The article explained the meaning of welfare clearly.,英検準1級 でる順パス単 CSV,0,,,
351,moisture,水分；湿気,The report mentioned a important moisture in detail.,英検準1級 でる順パス単 CSV,0,,,
352,obesity,（病的な)肥満,The report mentioned an important obesity in detail.,英検準1級 でる順パス単 CSV,0,,,
353,grant,（人）に（許可・権利など）を与える；を認める,The situation became more grant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
354,layer,層,The report mentioned a important layer in detail.,英検準1級 でる順パス単 CSV,0,,,
355,secretary,秘書,The situation became more secretary than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
356,anxiety,不安、心配,The article explained the meaning of anxiety clearly.,英検準1級 でる順パス単 CSV,0,,,
357,ownership,所有権、所有者であること,The report mentioned an important ownership in detail.,英検準1級 でる順パス単 CSV,0,,,
358,foundation,基礎、基盤,The report mentioned a important foundation in detail.,英検準1級 でる順パス単 CSV,0,,,
359,division,不和、分割、部門、仕切り,The report mentioned a important division in detail.,英検準1級 でる順パス単 CSV,0,,,
360,establishment,設立、制定、組織,The report mentioned an important establishment in detail.,英検準1級 でる順パス単 CSV,0,,,
361,conservation,（動植物などの）保護；保存,The report mentioned a important conservation in detail.,英検準1級 でる順パス単 CSV,0,,,
362,murder,殺人,The report mentioned a important murder in detail.,英検準1級 でる順パス単 CSV,0,,,
363,presence,存在；出席；面前,The report mentioned a important presence in detail.,英検準1級 でる順パス単 CSV,0,,,
364,paradox,逆説；矛盾,The article explained the meaning of paradox clearly.,英検準1級 でる順パス単 CSV,0,,,
365,prisoner,囚人,The report mentioned a important prisoner in detail.,英検準1級 でる順パス単 CSV,0,,,
366,surgeon,外科医,The article explained the meaning of surgeon clearly.,英検準1級 でる順パス単 CSV,0,,,
367,frequency,頻度、しばしば起こること,The report mentioned a important frequency in detail.,英検準1級 でる順パス単 CSV,0,,,
368,port,港,The article explained the meaning of port clearly.,英検準1級 でる順パス単 CSV,0,,,
369,reception,反応；宴会；受付；受信（状態）,The report mentioned a important reception in detail.,英検準1級 でる順パス単 CSV,0,,,
370,coworker,同僚、仕事仲間,The report mentioned a important coworker in detail.,英検準1級 でる順パス単 CSV,0,,,
371,rust,さび,The article explained the meaning of rust clearly.,英検準1級 でる順パス単 CSV,0,,,
372,athletics,スポーツ、運動競技,The article explained the meaning of athletics clearly.,英検準1級 でる順パス単 CSV,0,,,
373,voyage,(ゆったりした長い)旅、船旅,The report mentioned a important voyage in detail.,英検準1級 でる順パス単 CSV,0,,,
374,ecologist,生態学者、環境保護論者,The report mentioned an important ecologist in detail.,英検準1級 でる順パス単 CSV,0,,,
375,soul,精神；魂，霊魂；生気,The article explained the meaning of soul clearly.,英検準1級 でる順パス単 CSV,0,,,
376,isolated,孤立した、孤独な,The situation became more isolated than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
377,biased,偏った、偏見を持った,The situation became more biased than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
378,multiple,多様な；種々雑多な,The situation became more multiple than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
379,critical,批判的な、重大な,The situation became more critical than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
380,remote,（～から）遠く離れた（from）；かけ離れた,The article explained the meaning of remote clearly.,英検準1級 でる順パス単 CSV,0,,,
381,encouraging,勇気づける、望みを持たせる,The situation became more encouraging than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
382,underground,地下の、秘密の,The article explained the meaning of underground clearly.,英検準1級 でる順パス単 CSV,0,,,
383,stable,安定した；動じない,The situation became more stable than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
384,domestic,家庭の；国内の；（動物が）飼いならされた,The situation became more domestic than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
385,shallow,浅い（⇔deep 深い）；浅薄な,The situation became more shallow than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
386,willing,～するのをいとわない、快く～する,The report mentioned a important willing in detail.,英検準1級 でる順パス単 CSV,0,,,
387,superior,よりすぐれた,The report mentioned a important superior in detail.,英検準1級 でる順パス単 CSV,0,,,
388,profitable,利益になる、有益な,The situation became more profitable than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
389,solid,しっかりした；硬い；固体の,The article explained the meaning of solid clearly.,英検準1級 でる順パス単 CSV,0,,,
390,tremendous,途方もない，莫大な；すばらしい,The situation became more tremendous than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
391,intellectual,知的な、知性の,The situation became more intellectual than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
392,chief,主な、最高位の,The situation became more chief than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
393,steady,着実な，一定の；安定した,The situation became more steady than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
394,evil,邪悪な；有害な,The situation became more evil than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
395,coastal,沿岸(地方)の,The situation became more coastal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
396,dairy,〔集合的に〕乳製品；乳製品加工所［販売者］,The article explained the meaning of dairy clearly.,英検準1級 でる順パス単 CSV,0,,,
397,digestive,消化の,The situation became more digestive than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
398,loyal,（～に）忠実な（to）；誠実な,The situation became more loyal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
399,sensory,感覚の,The situation became more sensory than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
400,fancy,（気まぐれな）好み；空想；思いつき,The report mentioned a important fancy in detail.,英検準1級 でる順パス単 CSV,0,,,
401,spoil,を台無しにする；を甘やかす；だめになる,The situation became more spoil than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
402,stimulate,を刺激する,The situation became more stimulate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
403,distract,（注意など）をそらす,The situation became more distract than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
404,bargain,買い得品；取引；契約,The article explained the meaning of bargain clearly.,英検準1級 でる順パス単 CSV,0,,,
405,emerge,明らかになる、現れる,The situation became more emerge than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
406,browse,（を）拾い読みする；（を）閲覧する；（商品など）を見て歩く,The new policy may browse the whole community.,英検準1級 でる順パス単 CSV,0,,,
407,define,を定義する、を明確に示す,The new policy may define the whole community.,英検準1級 でる順パス単 CSV,0,,,
408,adjust,を調整する；を適合させる；順応する,The new policy may adjust the whole community.,英検準1級 でる順パス単 CSV,0,,,
409,deserve,に値する,The new policy may deserve the whole community.,英検準1級 でる順パス単 CSV,0,,,
410,undergo,を経験する；（手術など）を受ける；に耐える,The situation became more undergo than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
411,contradict,と矛盾する；に反対意見を言う,The new policy may contradict the whole community.,英検準1級 でる順パス単 CSV,0,,,
412,withdraw,を引き出す；を撤回する；撤退する,The new policy may withdraw the whole community.,英検準1級 でる順パス単 CSV,0,,,
413,accompany,に同行する；に付随する,The new policy may accompany the whole community.,英検準1級 でる順パス単 CSV,0,,,
414,infect,(人)を感染させる、を汚染する,The article explained the meaning of infect clearly.,英検準1級 でる順パス単 CSV,0,,,
415,rebel,反逆者,The article explained the meaning of rebel clearly.,英検準1級 でる順パス単 CSV,0,,,
416,convert,を変える；を改宗［転向］させる；を交換する,The new policy may convert the whole community.,英検準1級 でる順パス単 CSV,0,,,
417,calculate,を計算する；を予測する,The situation became more calculate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
418,utilize,を利用する（≒make use of）,The new policy may utilize the whole community.,英検準1級 でる順パス単 CSV,0,,,
419,admit,～と(しぶしぶ)認める、を中に入れる,The report mentioned an important admit in detail.,英検準1級 でる順パス単 CSV,0,,,
420,punish,を罰する；に損傷を与える,The situation became more punish than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
421,approve,賛成する；を承認する,The new policy may approve the whole community.,英検準1級 でる順パス単 CSV,0,,,
422,owe,に借りがある；のおかげである,The new policy may owe the whole community.,英検準1級 でる順パス単 CSV,0,,,
423,proceed,進む，進行する；（～を）続行する（with）,The situation became more proceed than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
424,navigate,（を）誘導する；（を）操縦する；（を）航行する,The situation became more navigate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
425,postpone,を延期する（≒put off）,The new policy may postpone the whole community.,英検準1級 でる順パス単 CSV,0,,,
426,swallow,（を）飲み込む；をうのみにする；に耐える,The article explained the meaning of swallow clearly.,英検準1級 でる順パス単 CSV,0,,,
427,tailor,を合わせて作る,The report mentioned a important tailor in detail.,英検準1級 でる順パス単 CSV,0,,,
428,overhear,を偶然耳にする,The new policy may overhear the whole community.,英検準1級 でる順パス単 CSV,0,,,
429,consequence,結果、重要さ,The report mentioned a important consequence in detail.,英検準1級 でる順パス単 CSV,0,,,
430,application,申請書、申し込み、適用,The report mentioned an important application in detail.,英検準1級 でる順パス単 CSV,0,,,
431,workout,運動、(運動競技の)練習,The article explained the meaning of workout clearly.,英検準1級 でる順パス単 CSV,0,,,
432,obstacle,（～に対する）障害（物）（to）,The new policy may obstacle the whole community.,英検準1級 でる順パス単 CSV,0,,,
433,treaty,（国家間の）条約；協定,The article explained the meaning of treaty clearly.,英検準1級 でる順パス単 CSV,0,,,
434,deforestation,森林伐採,The report mentioned a important deforestation in detail.,英検準1級 でる順パス単 CSV,0,,,
435,infrastructure,基本的施設；（経済）基盤,The report mentioned an important infrastructure in detail.,英検準1級 でる順パス単 CSV,0,,,
436,contribution,貢献、寄付(金),The report mentioned a important contribution in detail.,英検準1級 でる順パス単 CSV,0,,,
437,congestion,混雑,The report mentioned a important congestion in detail.,英検準1級 でる順パス単 CSV,0,,,
438,exposure,身をさらすこと、暴露,The report mentioned an important exposure in detail.,英検準1級 でる順パス単 CSV,0,,,
439,blow,強打、打撃、災難,The article explained the meaning of blow clearly.,英検準1級 でる順パス単 CSV,0,,,
440,participation,参加,The report mentioned a important participation in detail.,英検準1級 でる順パス単 CSV,0,,,
441,crisis,危機、難局,The report mentioned a important crisis in detail.,英検準1級 でる順パス単 CSV,0,,,
442,ancestor,先祖、祖先,The report mentioned an important ancestor in detail.,英検準1級 でる順パス単 CSV,0,,,
443,architect,建築家、設計者,The article explained the meaning of architect clearly.,英検準1級 でる順パス単 CSV,0,,,
444,existence,存在、生存,The report mentioned an important existence in detail.,英検準1級 でる順パス単 CSV,0,,,
445,deposit,を置く；を預ける；を堆積させる,The new policy may deposit the whole community.,英検準1級 でる順パス単 CSV,0,,,
446,finance,金融、財政(学),The report mentioned a important finance in detail.,英検準1級 でる順パス単 CSV,0,,,
447,awareness,認識、意識,The report mentioned an important awareness in detail.,英検準1級 でる順パス単 CSV,0,,,
448,intake,摂取量；受け入れ数；取り入れること,The article explained the meaning of intake clearly.,英検準1級 でる順パス単 CSV,0,,,
449,witness,目撃者；証人；証拠，証言,The report mentioned a important witness in detail.,英検準1級 でる順パス単 CSV,0,,,
450,coverage,報道、(保険の)補償範囲、適用範囲,The report mentioned a important coverage in detail.,英検準1級 でる順パス単 CSV,0,,,
451,lawsuit,(民事)訴訟,The article explained the meaning of lawsuit clearly.,英検準1級 でる順パス単 CSV,0,,,
452,session,集まり；（議会の）会期；（開会中の）議会,The report mentioned a important session in detail.,英検準1級 でる順パス単 CSV,0,,,
453,means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入,The article explained the meaning of means clearly.,英検準1級 でる順パス単 CSV,0,,,
454,pioneer,先駆者、草分け、(未開地の)開拓者,The report mentioned a important pioneer in detail.,英検準1級 でる順パス単 CSV,0,,,
455,satisfaction,満足,The report mentioned a important satisfaction in detail.,英検準1級 でる順パス単 CSV,0,,,
456,basis,根拠、基礎,The report mentioned a important basis in detail.,英検準1級 でる順パス単 CSV,0,,,
457,element,(構成)要素、成分,The report mentioned an important element in detail.,英検準1級 でる順パス単 CSV,0,,,
458,phenomenon,現象、事象,The article explained the meaning of phenomenon clearly.,英検準1級 でる順パス単 CSV,0,,,
459,scale,規模、程度,The article explained the meaning of scale clearly.,英検準1級 でる順パス単 CSV,0,,,
460,journal,(専門)雑誌、日刊[週刊]新聞,The situation became more journal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
461,grain,穀物；粒；きめ,The article explained the meaning of grain clearly.,英検準1級 でる順パス単 CSV,0,,,
462,continent,大陸、(イギリスから見て)ヨーロッパ大陸,The situation became more continent than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
463,headquarters,本社、(軍・警察・会社などの)本部,The situation became more headquarters than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
464,globalization,国際化,The report mentioned a important globalization in detail.,英検準1級 でる順パス単 CSV,0,,,
465,brochure,パンフレット、小冊子,The report mentioned a important brochure in detail.,英検準1級 でる順パス単 CSV,0,,,
466,inspection,検査、点検,The report mentioned an important inspection in detail.,英検準1級 でる順パス単 CSV,0,,,
467,attendance,出席[入場]者数、出席,The report mentioned an important attendance in detail.,英検準1級 でる順パス単 CSV,0,,,
468,copper,銅,The report mentioned a important copper in detail.,英検準1級 でる順パス単 CSV,0,,,
469,dozen,12(個)、１ダース,The article explained the meaning of dozen clearly.,英検準1級 でる順パス単 CSV,0,,,
470,flu,インフルエンザ,The article explained the meaning of flu clearly.,英検準1級 でる順パス単 CSV,0,,,
471,burial,埋葬,The situation became more burial than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
472,mold,鋳型；鋳物；性格；かび,The article explained the meaning of mold clearly.,英検準1級 でる順パス単 CSV,0,,,
473,patch,（～の）部分，斑点；継ぎ；貼り薬,The article explained the meaning of patch clearly.,英検準1級 でる順パス単 CSV,0,,,
474,diagram,図(表),The article explained the meaning of diagram clearly.,英検準1級 でる順パス単 CSV,0,,,
475,placement,(就職先・学校・里親などの)斡旋、配置,The report mentioned a important placement in detail.,英検準1級 でる順パス単 CSV,0,,,
476,shame,恥；残念なこと,The situation became more shame than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
477,wheelchair,車椅子,The article explained the meaning of wheelchair clearly.,英検準1級 でる順パス単 CSV,0,,,
478,experienced,熟練した,The situation became more experienced than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
479,initial,初めの,The situation became more initial than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
480,mainstream,（活動・思潮などの）主流；大勢,The situation became more mainstream than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
481,appropriate,適切な,The situation became more appropriate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
482,fake,偽の；見せかけだけの,The article explained the meaning of fake clearly.,英検準1級 でる順パス単 CSV,0,,,
483,alert,警戒して；敏速な,The situation became more alert than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
484,fatal,致命的な、破滅的な,The situation became more fatal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
485,nutritious,栄養になる,The situation became more nutritious than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
486,sophisticated,高性能の，精巧な；洗練された,The situation became more sophisticated than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
487,automatic,自動の,The situation became more automatic than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
488,raw,生の；未加工の,The article explained the meaning of raw clearly.,英検準1級 でる順パス単 CSV,0,,,
489,slight,わずかな；取るに足らない,The situation became more slight than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
490,man-made,(物質などが)合成の、人工の,The situation became more man-made than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
491,aging,高齢化が進む、老朽化している,The situation became more aging than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
492,spiritual,精神の（⇔material）；霊的な,The situation became more spiritual than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
493,endangered,(動植物が)絶滅の危機にある,The situation became more endangered than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
494,sticky,ねばねばの、粘着性の,The article explained the meaning of sticky clearly.,英検準1級 でる順パス単 CSV,0,,,
495,fertile,肥沃な（⇔barren 不毛の）；多産の,The situation became more fertile than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
496,elsewhere,どこかほかのところへ[に、へ],The article explained the meaning of elsewhere clearly.,英検準1級 でる順パス単 CSV,0,,,
497,altogether,完全に,The report mentioned an important altogether in detail.,英検準1級 でる順パス単 CSV,0,,,
498,strictly,厳格に、厳しく,She responded strictly during the meeting.,英検準1級 でる順パス単 CSV,0,,,
499,beforehand,前もって、あらかじめ,The article explained the meaning of beforehand clearly.,英検準1級 でる順パス単 CSV,0,,,
500,likewise,同様に（≒in the same way）,The article explained the meaning of likewise clearly.,英検準1級 でる順パス単 CSV,0,,,
501,detect,を感知する；を見つけ出す；に気づく,The new policy may detect the whole community.,英検準1級 でる順パス単 CSV,0,,,
502,combat,戦闘；対立,The article explained the meaning of combat clearly.,英検準1級 でる順パス単 CSV,0,,,
503,pose,（危険）を引き起こす；（問題など）を提起する；（～を）装う（as）,The situation became more pose than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
504,emphasize,を強調する；を重視する,The new policy may emphasize the whole community.,英検準1級 でる順パス単 CSV,0,,,
505,highlight,を目立たせる，強調する,The new policy may highlight the whole community.,英検準1級 でる順パス単 CSV,0,,,
506,resist,に抵抗する；〔通例否定文で〕を我慢する,The report mentioned a important resist in detail.,英検準1級 でる順パス単 CSV,0,,,
507,exceed,を超える；に勝る,The situation became more exceed than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
508,relocate,(住居・事務所・住民など)を移転[移動]させる,The situation became more relocate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
509,disprove,の誤りを証明する、の反証を挙げる,The new policy may disprove the whole community.,英検準1級 でる順パス単 CSV,0,,,
510,crawl,はう；ゆっくり進む,The article explained the meaning of crawl clearly.,英検準1級 でる順パス単 CSV,0,,,
511,foster,をはぐくむ；を養育する；を心に抱く,The report mentioned a important foster in detail.,英検準1級 でる順パス単 CSV,0,,,
512,harass,を絶えず悩ます、を苦しめる,The new policy may harass the whole community.,英検準1級 でる順パス単 CSV,0,,,
513,magnify,を拡大する、を誇張する,The new policy may magnify the whole community.,英検準1級 でる順パス単 CSV,0,,,
514,sneak,こっそり動く,The article explained the meaning of sneak clearly.,英検準1級 でる順パス単 CSV,0,,,
515,stray,はぐれる，（道に）迷う,The article explained the meaning of stray clearly.,英検準1級 でる順パス単 CSV,0,,,
516,worsen,を悪化させる；悪化する（≒deteriorate）,The new policy may worsen the whole community.,英検準1級 でる順パス単 CSV,0,,,
517,advocate,を主張する；を擁護する,The situation became more advocate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
518,evacuate,を避難させる、から立ち退く,The situation became more evacuate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
519,verify,の正しさを証明［確認］する,The article explained the meaning of verify clearly.,英検準1級 でる順パス単 CSV,0,,,
520,abuse,乱用；虐待,The article explained the meaning of abuse clearly.,英検準1級 でる順パス単 CSV,0,,,
521,scatter,をまき散らす；分散する,The report mentioned a important scatter in detail.,英検準1級 でる順パス単 CSV,0,,,
522,endorse,を推奨する,The new policy may endorse the whole community.,英検準1級 でる順パス単 CSV,0,,,
523,modify,を修正する；を緩和する,The new policy may modify the whole community.,英検準1級 でる順パス単 CSV,0,,,
524,penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く,The situation became more penetrate than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
525,conform,順応する；一致する,The new policy may conform the whole community.,英検準1級 でる順パス単 CSV,0,,,
526,leave,休暇,The article explained the meaning of leave clearly.,英検準1級 でる順パス単 CSV,0,,,
527,tissue,（生物の）組織,The article explained the meaning of tissue clearly.,英検準1級 でる順パス単 CSV,0,,,
528,gut,腸、消化管、内臓,The article explained the meaning of gut clearly.,英検準1級 でる順パス単 CSV,0,,,
529,lightning,雷、稲妻,The situation became more lightning than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
530,camel,ラクダ、黄褐色,The article explained the meaning of camel clearly.,英検準1級 でる順パス単 CSV,0,,,
531,antioxidant,抗酸化物質、酸化防止剤,The situation became more antioxidant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
532,disorder,障害，（心身の）不調；混乱,The report mentioned a important disorder in detail.,英検準1級 でる順パス単 CSV,0,,,
533,cattle,〔集合的に〕牛,The article explained the meaning of cattle clearly.,英検準1級 でる順パス単 CSV,0,,,
534,oath,誓い、誓約,The article explained the meaning of oath clearly.,英検準1級 でる順パス単 CSV,0,,,
535,monument,記念碑，遺跡；金字塔,The report mentioned a important monument in detail.,英検準1級 でる順パス単 CSV,0,,,
536,heating,暖房(装置),The situation became more heating than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
537,germ,細菌、病原菌,The article explained the meaning of germ clearly.,英検準1級 でる順パス単 CSV,0,,,
538,legend,伝説、言い伝え、伝説的な人物,The situation became more legend than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
539,auditorium,(学校の)講堂、公会堂,The article explained the meaning of auditorium clearly.,英検準1級 でる順パス単 CSV,0,,,
540,therapy,療法；心理療法,The article explained the meaning of therapy clearly.,英検準1級 でる順パス単 CSV,0,,,
541,heritage,遺産,The report mentioned a important heritage in detail.,英検準1級 でる順パス単 CSV,0,,,
542,invasion,侵害、侵入,The report mentioned an important invasion in detail.,英検準1級 でる順パス単 CSV,0,,,
543,instruction,(製品の)使用書、指示、教育,The report mentioned an important instruction in detail.,英検準1級 でる順パス単 CSV,0,,,
544,extinction,(家系・種などの)絶滅、消滅,The report mentioned an important extinction in detail.,英検準1級 でる順パス単 CSV,0,,,
545,creativity,創造性、独創性,The report mentioned a important creativity in detail.,英検準1級 でる順パス単 CSV,0,,,
546,plantation,(熱帯・亜熱帯の)(大)農園,The report mentioned a important plantation in detail.,英検準1級 でる順パス単 CSV,0,,,
547,drought,干ばつ；（慢性的な）不足,The situation became more drought than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
548,wealth,財産、富、豊富,The article explained the meaning of wealth clearly.,英検準1級 でる順パス単 CSV,0,,,
549,reminder,思い出させるもの、記念物[品],The report mentioned a important reminder in detail.,英検準1級 でる順パス単 CSV,0,,,
550,inquiry,問い合わせ、質問、調査,The article explained the meaning of inquiry clearly.,英検準1級 でる順パス単 CSV,0,,,
551,investigation,(詳しい)調査、研究,The report mentioned an important investigation in detail.,英検準1級 でる順パス単 CSV,0,,,
552,boundary,境界（線）；〔通例～ries〕限界,The situation became more boundary than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
553,compartment,(列車・客室などの仕切った)区画[部屋],The report mentioned a important compartment in detail.,英検準1級 でる順パス単 CSV,0,,,
554,substitute,を代わりに使う；（～の）代理をする（for）,The new policy may substitute the whole community.,英検準1級 でる順パス単 CSV,0,,,
555,hybrid,雑種の；混成の,The article explained the meaning of hybrid clearly.,英検準1級 でる順パス単 CSV,0,,,
556,characteristic,特徴,The situation became more characteristic than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
557,routine,決まり切った仕事；いつもの手順,The article explained the meaning of routine clearly.,英検準1級 でる順パス単 CSV,0,,,
558,edge,優勢、刃、端,The article explained the meaning of edge clearly.,英検準1級 でる順パス単 CSV,0,,,
559,incident,出来事，事件；紛争,The situation became more incident than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
560,clue,（～の）手がかり（to/about）；（パズルの）ヒント,The article explained the meaning of clue clearly.,英検準1級 でる順パス単 CSV,0,,,
561,removal,除去、移動,The situation became more removal than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
562,outcome,結果,The article explained the meaning of outcome clearly.,英検準1級 でる順パス単 CSV,0,,,
563,altitude,高度，標高,The article explained the meaning of altitude clearly.,英検準1級 でる順パス単 CSV,0,,,
564,closure,(工場・学校などの)閉鎖,The report mentioned a important closure in detail.,英検準1級 でる順パス単 CSV,0,,,
565,compound,を悪化させる；を合成する；を混合する,The new policy may compound the whole community.,英検準1級 でる順パス単 CSV,0,,,
566,surplus,余剰（⇔shortage 不足），過剰；黒字,The article explained the meaning of surplus clearly.,英検準1級 でる順パス単 CSV,0,,,
567,vaccine,ワクチン,The article explained the meaning of vaccine clearly.,英検準1級 でる順パス単 CSV,0,,,
568,reference,言及、参照,The report mentioned a important reference in detail.,英検準1級 でる順パス単 CSV,0,,,
569,obligation,義務、責任,The report mentioned an important obligation in detail.,英検準1級 でる順パス単 CSV,0,,,
570,ritual,儀式；（日常の）習慣的行為,The situation became more ritual than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
571,mean,意地の悪い、不親切な,The situation became more mean than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
572,coral,サンゴ(製)の,The situation became more coral than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
573,novel,斬新な、目新しい,The situation became more novel than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
574,relevant,関係がある；適切な,The situation became more relevant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
575,efficient,効率的な、有能な,The situation became more efficient than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
576,fragile,壊れやすい；虚弱な,The situation became more fragile than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
577,impressive,印象的な、感動的な,The situation became more impressive than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
578,offensive,不快な、攻撃的な,The situation became more offensive than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
579,distinct,明らかに異なる；明瞭な,The situation became more distinct than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
580,temporary,一時的な（⇔permanent）,The situation became more temporary than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
581,arrogant,横柄な，傲慢な,The situation became more arrogant than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
582,spacious,広々とした,The situation became more spacious than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
583,reasonable,筋の通った、分別のある、(値段などが)手ごろな,The situation became more reasonable than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
584,substantial,(数量などが)かなりの、重要な、実質的な,The situation became more substantial than anyone expected.,英検準1級 でる順パス単 CSV,0,,,
